Error Message,Site ID,Site Name,Placement ID,Placement Name,Placement Compatibility,Placement Group Type,Placement Group ID,Primary Placement,Payment Source,Dimensions,Placement Orientation,Placement Duration,Placement Publisher Specification,Placement Tag Wrapping,Placement Tag Wrapping Type,Placement Tag Wrapping Measurement Mode,Placement status,Start Date,End Date,Cost Structure,Units,Rate,Cost,Opt This Placement Out of Ad Blocking,Placement Comments,Content Category,Placement Strategy,Assignment is Active,Ad ID,Ad Name,Ad Type,Ad is Active,Ad is Archived,Ad Start Time,Ad End Time,Ad Uses Default Landing Page,Ad Landing Page ID,Ad Landing Page Name,Ad Click-Through URL,Applied Impression Event Tag IDs,Applied Click Event Tag ID,Hard Cut-Off,Priority,Impression Ratio,Rotation Type,Weight Calculation Strategy,Rotation Value,Audience Segment Group Name,Audience Segment Name,Creative ID,Creative Name,Creative Type,Creative Compatibility,Creative Start Date,Creative End Date,Creative Assignment is Active,Creative Assignment Event Tags Enabled,Creative Uses Default Landing Page,Creative Landing Page ID,Creative Landing Page Name,Creative Click-Through URL
,5484634,Gimbal,353964001,CIG_National_VISITS_ALL_A2554_ALL_Gimbal_Gimbal_TapToMaployalty_3P_Cross_Display_dCPM_1x1,Display,,353964409,No,Agency Paid,1x1,,,,Yes,Display Tracking,Monitoring,Active,12/26/2022,03/26/2023,CPM,1062500,8.0000,8500.00,No,"Created by Prisma at 9:47AM EST on December 02, 2022. Placement id=P270ZYP, Prisma campaign id=CP1XJX1",,,Yes,545029594,CIG_VISITS_GimbalRichMediaLoyalty_Display_1x1,Tracking,Yes,No,12/26/2022 12:00 AM,03/26/2023 11:59 PM,,,,,4567148,,Yes,15,1,Weighted,Even,,,,183541404,CIG_VISITS_WinterLTOGimbal_1x1,Tracking,,12/26/2022 12:00 AM,03/26/2023 11:59 PM,Yes,Yes,No,33940213,Gimbal Landing Page,
,1972173,"Waze, Inc",353970393,CIG_National_VISITS_ALL_ALL_ALL_Waze_Waze_ZSTGeo_3P_MOB_Display_CPM_1x1,Display,,353610461,No,Agency Paid,1x1,,,,No,,,Active,12/26/2022,03/26/2023,CPM,1325843,17.8000,23600.01,No,"Created by Prisma at 7:18PM EST on December 16, 2022. Placement id=P270ZYW, Prisma campaign id=CP1XJX1",,,Yes,545029597,CIG_VISITS_1x1_WazeZST_Display_1x1,Tracking,Yes,No,12/26/2022 12:00 AM,03/26/2023 11:59 PM,,,,,4567148,,Yes,15,1,Weighted,Even,,,,183541395,CIG_VISITS_WinterLTOWaze_1x1,Tracking,,12/26/2022 12:00 AM,03/26/2023 11:59 PM,Yes,Yes,No,33940210,Waze Landing Page,
,5484634,Gimbal,353964406,CIG_National_VISITS_ALL_A25P_ALL_Gimbal_Gimbal_TapToMapConquesting_3P_Cross_Display_dCPM_1x1,Display,,353970276,No,Agency Paid,1x1,,,,Yes,Display Tracking,Monitoring,Active,12/26/2022,03/26/2023,CPM,1062500,8.0000,8500.00,No,"Created by Prisma at 9:47AM EST on December 02, 2022. Placement id=P270ZYZ, Prisma campaign id=CP1XJX1",,,Yes,545029600,CIG_VISITS_GimbalRichMediaConquesting_Display_1x1,Tracking,Yes,No,12/26/2022 12:00 AM,03/26/2023 11:59 PM,,,,,4567148,,Yes,15,1,Weighted,Even,,,,183541404,CIG_VISITS_WinterLTOGimbal_1x1,Tracking,,12/26/2022 12:00 AM,03/26/2023 11:59 PM,Yes,Yes,No,33940213,Gimbal Landing Page,
,5484634,Gimbal,353964403,CIG_National_VISITS_ALL_A25P_ALL_Gimbal_Gimbal_AVStandardBanners_3P_Cross_Display_dCPM_728x90 ,Display,,353971212,No,Agency Paid,728x90,,,,Yes,Display,Blocking,Active,12/26/2022,03/26/2023,Flat rate - clicks,0,0.0000,0.00,No,"Created by Prisma at 9:47AM EST on December 02, 2022. Placement id=P270ZYM, Prisma campaign id=CP1XJX1",,,Yes,545029603,CIG_VISITS_GimbalAVBanners_Display_1x1,Tracking,Yes,No,12/26/2022 12:00 AM,03/26/2023 11:59 PM,,,,,4567148,,Yes,15,1,Weighted,Even,,,,183541404,CIG_VISITS_WinterLTOGimbal_1x1,Tracking,,12/26/2022 12:00 AM,01/02/2023 11:59 PM,Yes,Yes,No,33940213,Gimbal Landing Page,
,5484634,Gimbal,353964403,CIG_National_VISITS_ALL_A25P_ALL_Gimbal_Gimbal_AVStandardBanners_3P_Cross_Display_dCPM_728x90 ,Display,,353971212,No,Agency Paid,728x90,,,,Yes,Display,Blocking,Active,12/26/2022,03/26/2023,Flat rate - clicks,0,0.0000,0.00,No,"Created by Prisma at 9:47AM EST on December 02, 2022. Placement id=P270ZYM, Prisma campaign id=CP1XJX1",,,Yes,545029603,CIG_VISITS_GimbalAVBanners_Display_1x1,Tracking,Yes,No,12/26/2022 12:00 AM,03/26/2023 11:59 PM,,,,,4567148,,Yes,15,1,Weighted,Even,,,,184370172,CIG_VISITS_WinterLTOGimbalPostHoliday_1x1,Tracking,,01/03/2023 12:00 AM,01/23/2023 11:59 PM,Yes,Yes,No,33940213,Gimbal Landing Page,
,5484634,Gimbal,353965462,CIG_National_VISITS_ALL_A25P_ALL_Gimbal_Gimbal_AVStandardBanners_3P_Cross_Display_dCPM_300x250,Display,,353971212,No,Agency Paid,300x250,,,,Yes,Display,Blocking,Active,12/26/2022,03/26/2023,Flat rate - clicks,0,0.0000,0.00,No,"Created by Prisma at 9:47AM EST on December 02, 2022. Placement id=P270ZYR, Prisma campaign id=CP1XJX1",,,Yes,545029603,CIG_VISITS_GimbalAVBanners_Display_1x1,Tracking,Yes,No,12/26/2022 12:00 AM,03/26/2023 11:59 PM,,,,,4567148,,Yes,15,1,Weighted,Even,,,,183541404,CIG_VISITS_WinterLTOGimbal_1x1,Tracking,,12/26/2022 12:00 AM,01/02/2023 11:59 PM,Yes,Yes,No,33940213,Gimbal Landing Page,
,5484634,Gimbal,353965462,CIG_National_VISITS_ALL_A25P_ALL_Gimbal_Gimbal_AVStandardBanners_3P_Cross_Display_dCPM_300x250,Display,,353971212,No,Agency Paid,300x250,,,,Yes,Display,Blocking,Active,12/26/2022,03/26/2023,Flat rate - clicks,0,0.0000,0.00,No,"Created by Prisma at 9:47AM EST on December 02, 2022. Placement id=P270ZYR, Prisma campaign id=CP1XJX1",,,Yes,545029603,CIG_VISITS_GimbalAVBanners_Display_1x1,Tracking,Yes,No,12/26/2022 12:00 AM,03/26/2023 11:59 PM,,,,,4567148,,Yes,15,1,Weighted,Even,,,,184370172,CIG_VISITS_WinterLTOGimbalPostHoliday_1x1,Tracking,,01/03/2023 12:00 AM,01/23/2023 11:59 PM,Yes,Yes,No,33940213,Gimbal Landing Page,
,5484634,Gimbal,353970261,CIG_National_VISITS_ALL_A25P_ALL_Gimbal_Gimbal_AVStandardBanners_3P_Cross_Display_dCPM_160x600,Display,,353971212,No,Agency Paid,160x600,,,,Yes,Display,Blocking,Active,12/26/2022,03/26/2023,Flat rate - clicks,0,0.0000,0.00,No,"Created by Prisma at 9:47AM EST on December 02, 2022. Placement id=P270ZYL, Prisma campaign id=CP1XJX1",,,Yes,545029603,CIG_VISITS_GimbalAVBanners_Display_1x1,Tracking,Yes,No,12/26/2022 12:00 AM,03/26/2023 11:59 PM,,,,,4567148,,Yes,15,1,Weighted,Even,,,,183541404,CIG_VISITS_WinterLTOGimbal_1x1,Tracking,,12/26/2022 12:00 AM,01/02/2023 11:59 PM,Yes,Yes,No,33940213,Gimbal Landing Page,
,5484634,Gimbal,353970261,CIG_National_VISITS_ALL_A25P_ALL_Gimbal_Gimbal_AVStandardBanners_3P_Cross_Display_dCPM_160x600,Display,,353971212,No,Agency Paid,160x600,,,,Yes,Display,Blocking,Active,12/26/2022,03/26/2023,Flat rate - clicks,0,0.0000,0.00,No,"Created by Prisma at 9:47AM EST on December 02, 2022. Placement id=P270ZYL, Prisma campaign id=CP1XJX1",,,Yes,545029603,CIG_VISITS_GimbalAVBanners_Display_1x1,Tracking,Yes,No,12/26/2022 12:00 AM,03/26/2023 11:59 PM,,,,,4567148,,Yes,15,1,Weighted,Even,,,,184370172,CIG_VISITS_WinterLTOGimbalPostHoliday_1x1,Tracking,,01/03/2023 12:00 AM,01/23/2023 11:59 PM,Yes,Yes,No,33940213,Gimbal Landing Page,
,5484634,Gimbal,353970264,CIG_National_VISITS_ALL_A25P_ALL_Gimbal_Gimbal_AVStandardBanners_3P_Cross_Display_dCPM_320x50,Display,,353971212,No,Agency Paid,320x50,,,,Yes,Display,Blocking,Active,12/26/2022,03/26/2023,Flat rate - clicks,0,0.0000,0.00,No,"Created by Prisma at 9:47AM EST on December 02, 2022. Placement id=P270ZYQ, Prisma campaign id=CP1XJX1",,,Yes,545029603,CIG_VISITS_GimbalAVBanners_Display_1x1,Tracking,Yes,No,12/26/2022 12:00 AM,03/26/2023 11:59 PM,,,,,4567148,,Yes,15,1,Weighted,Even,,,,183541404,CIG_VISITS_WinterLTOGimbal_1x1,Tracking,,12/26/2022 12:00 AM,01/02/2023 11:59 PM,Yes,Yes,No,33940213,Gimbal Landing Page,
