Error Message,Site ID,Site Name,Placement ID,Placement Name,Placement Compatibility,Placement Group Type,Placement Group ID,Primary Placement,Payment Source,Dimensions,Placement Orientation,Placement Duration,Placement Publisher Specification,Placement Tag Wrapping,Placement Tag Wrapping Type,Placement Tag Wrapping Measurement Mode,Placement status,Start Date,End Date,Cost Structure,Units,Rate,Cost,Opt This Placement Out of Ad Blocking,Placement Comments,Content Category,Placement Strategy,Assignment is Active,Ad ID,Ad Name,Ad Type,Ad is Active,Ad is Archived,Ad Start Time,Ad End Time,Ad Uses Default Landing Page,Ad Landing Page ID,Ad Landing Page Name,Ad Click-Through URL,Applied Impression Event Tag IDs,Applied Click Event Tag ID,Hard Cut-Off,Priority,Impression Ratio,Rotation Type,Weight Calculation Strategy,Rotation Value,Audience Segment Group Name,Audience Segment Name,Creative ID,Creative Name,Creative Type,Creative Compatibility,Creative Start Date,Creative End Date,Creative Assignment is Active,Creative Assignment Event Tags Enabled,Creative Uses Default Landing Page,Creative Landing Page ID,Creative Landing Page Name,Creative Click-Through URL
,6486511,Matterkind,353475580,OBS_National_AWARE_Corp_A25P_National_Matterkind_TTD_HVA1.0LightHulu_3P_CTV_CTV_dCPM_16x9,In-stream video,,353475406,No,Agency Paid,,,,,Yes,Video Tracking,Monitoring,Active,12/26/2022,1/22/2023,CPM,6428571,35,224999.99,No,"Created by Prisma at 2:31PM EST on December 07, 2022. Placement id=P265QWR, Prisma campaign id=CP1WPFQ",,,Yes,544410983,Default In-stream Ad,Default (In-Stream),Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,"4559112, 4589360",,Yes,16,,,,,,,184046675,OBS_AWARE_WinterLTOPostHoliday_CTV,Instream Video,In-stream video,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,Yes,,,
,6486511,Matterkind,353113058,OBS_National_AWARE_Corp_A25P_National_Matterkind_TTD_HVA1.0LightLAL_LAL_CTV_CTV_dCPM_16x9,In-stream video,,353475406,No,Agency Paid,,,,,Yes,Video Tracking,Monitoring,Active,12/26/2022,1/22/2023,CPM,6428571,35,224999.99,No,"Created by Prisma at 2:31PM EST on December 07, 2022. Placement id=P265QVG, Prisma campaign id=CP1WPFQ",,,Yes,544410983,Default In-stream Ad,Default (In-Stream),Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,"4559112, 4589360",,Yes,16,,,,,,,184046675,OBS_AWARE_WinterLTOPostHoliday_CTV,Instream Video,In-stream video,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,Yes,,,
,6486511,Matterkind,353113085,OBS_National_AWARE_Franch_A25P_National_Matterkind_TTD_HVAHeavy_1P_MTW_CTV_dCPM_16x9,In-stream video,,353475406,No,Agency Paid,,,,,Yes,Video Tracking,Monitoring,Active,12/26/2022,1/22/2023,CPM,6428571,35,224999.99,No,"Created by Prisma at 2:32PM EST on December 07, 2022. Placement id=P265QD6, Prisma campaign id=CP1WPFQ",,,Yes,544410983,Default In-stream Ad,Default (In-Stream),Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,"4559112, 4589360",,Yes,16,,,,,,,184046675,OBS_AWARE_WinterLTOPostHoliday_CTV,Instream Video,In-stream video,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,Yes,,,
,6486511,Matterkind,353475553,OBS_National_AWARE_Franch_A25P_National_Matterkind_TTD_HVA1.0Light_1P_CTV_CTV_dCPM_16x9,In-stream video,,353475406,No,Agency Paid,,,,,Yes,Video Tracking,Monitoring,Active,12/26/2022,1/22/2023,CPM,6428571,35,224999.99,No,"Created by Prisma at 2:31PM EST on December 07, 2022. Placement id=P265QVJ, Prisma campaign id=CP1WPFQ",,,Yes,544410983,Default In-stream Ad,Default (In-Stream),Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,"4559112, 4589360",,Yes,16,,,,,,,184046675,OBS_AWARE_WinterLTOPostHoliday_CTV,Instream Video,In-stream video,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,Yes,,,
,6486511,Matterkind,353113082,OBS_National_AWARE_Franch_A25P_National_Matterkind_TTD_BroadDemoHulu_3P_DSK_CTV_dCPM_16x9,In-stream video,,353475406,No,Agency Paid,,,,,Yes,Video Tracking,Monitoring,Active,12/26/2022,1/22/2023,CPM,6428571,35,224999.99,No,"Created by Prisma at 2:32PM EST on December 07, 2022. Placement id=P265QWV, Prisma campaign id=CP1WPFQ",,,Yes,544410983,Default In-stream Ad,Default (In-Stream),Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,"4559112, 4589360",,Yes,16,,,,,,,184046675,OBS_AWARE_WinterLTOPostHoliday_CTV,Instream Video,In-stream video,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,Yes,,,
,6486511,Matterkind,353475559,OBS_National_AWARE_Franch_A25P_National_Matterkind_TTD_CDREnthusiastsPROS_3P_MTW_CTV_dCPM_16x9,In-stream video,,353475406,No,Agency Paid,,,,,Yes,Video Tracking,Monitoring,Active,12/26/2022,1/22/2023,CPM,6428571,35,224999.99,No,"Created by Prisma at 2:31PM EST on December 07, 2022. Placement id=P265QF7, Prisma campaign id=CP1WPFQ",,,Yes,544410983,Default In-stream Ad,Default (In-Stream),Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,"4559112, 4589360",,Yes,16,,,,,,,184046675,OBS_AWARE_WinterLTOPostHoliday_CTV,Instream Video,In-stream video,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,Yes,,,
,6486511,Matterkind,353113073,OBS_National_AWARE_Corp_A25P_National_Matterkind_TTD_HVA1.0Light_1P_DSK_CTV_dCPM_16x9,In-stream video,,353475406,No,Agency Paid,,,,,Yes,Video Tracking,Monitoring,Active,12/26/2022,1/22/2023,CPM,6428571,35,224999.99,No,"Created by Prisma at 2:31PM EST on December 07, 2022. Placement id=P265QCN, Prisma campaign id=CP1WPFQ",,,Yes,544410983,Default In-stream Ad,Default (In-Stream),Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,"4559112, 4589360",,Yes,16,,,,,,,184046675,OBS_AWARE_WinterLTOPostHoliday_CTV,Instream Video,In-stream video,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,Yes,,,
,6486511,Matterkind,353475565,OBS_National_AWARE_Franch_A25P_National_Matterkind_TTD_HVA1.0Light_1P_MTW_CTV_dCPM_16x9,In-stream video,,353475406,No,Agency Paid,,,,,Yes,Video Tracking,Monitoring,Active,12/26/2022,1/22/2023,CPM,6428571,35,224999.99,No,"Created by Prisma at 2:31PM EST on December 07, 2022. Placement id=P265QCW, Prisma campaign id=CP1WPFQ",,,Yes,544410983,Default In-stream Ad,Default (In-Stream),Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,"4559112, 4589360",,Yes,16,,,,,,,184046675,OBS_AWARE_WinterLTOPostHoliday_CTV,Instream Video,In-stream video,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,Yes,,,
,6486511,Matterkind,353113076,OBS_National_AWARE_Corp_A25P_National_Matterkind_TTD_HVA1.0LightLAL_LAL_DSK_CTV_dCPM_16x9,In-stream video,,353475406,No,Agency Paid,,,,,Yes,Video Tracking,Monitoring,Active,12/26/2022,1/22/2023,CPM,6428571,35,224999.99,No,"Created by Prisma at 2:31PM EST on December 07, 2022. Placement id=P265QCG, Prisma campaign id=CP1WPFQ",,,Yes,544410983,Default In-stream Ad,Default (In-Stream),Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,"4559112, 4589360",,Yes,16,,,,,,,184046675,OBS_AWARE_WinterLTOPostHoliday_CTV,Instream Video,In-stream video,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,Yes,,,
,6486511,Matterkind,353475604,OBS_National_AWARE_Corp_A25P_National_Matterkind_TTD_BroadDemoHulu_3P_MTA_CTV_dCPM_16x9,In-stream video,,353475406,No,Agency Paid,,,,,Yes,Video Tracking,Monitoring,Active,12/26/2022,1/22/2023,CPM,6428571,35,224999.99,No,"Created by Prisma at 2:31PM EST on December 07, 2022. Placement id=P265QWZ, Prisma campaign id=CP1WPFQ",,,Yes,544410983,Default In-stream Ad,Default (In-Stream),Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,"4559112, 4589360",,Yes,16,,,,,,,184046675,OBS_AWARE_WinterLTOPostHoliday_CTV,Instream Video,In-stream video,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,Yes,,,
